User, Action, Channel Name, UNIX Time, ISO8601 Local Time
Luke L#0751,join,Gamer 3,1642287360.7885215,2022-01-15T22:56:00.788566
Luke L#0751,leave,Gamer 3,1642287730.3626828,2022-01-15T23:02:10.362729
Tangent#0184,join,Gamer 3,1642288365.0826762,2022-01-15T23:12:45.082723
Tangent#0184,leave,Gamer 3,1642291433.1921902,2022-01-16T00:03:53.192232
donwersa#8598,leave,Gamer 3,1642291435.4821403,2022-01-16T00:03:55.482192
Annabelle B#6621,join,Gamer 3,1642291717.0190082,2022-01-16T00:08:37.019048
Annabelle B#6621,leave,Gamer 3,1642291734.937025,2022-01-16T00:08:54.937070
MaxDeVos#0202,join,General,1642292066.2158692,2022-01-16T00:14:26.215910
Liam Straub#3257,leave,Gamer 3,1642292087.1648118,2022-01-16T00:14:47.164857
Annabelle B#6621,join,General,1642292355.5233874,2022-01-16T00:19:15.523429
donwersa#8598,join,General,1642292382.8379066,2022-01-16T00:19:42.837954
MaxDeVos#0202,leave,General,1642292475.694477,2022-01-16T00:21:15.694522
Joe Rogan#2959,join,General,1642292766.3795033,2022-01-16T00:26:06.379549
peterbraun#9809,join,General,1642292852.1684573,2022-01-16T00:27:32.168499
peterbraun#9809,leave,General,1642292883.9558043,2022-01-16T00:28:03.955852
peterbraun#9809,join,General,1642292976.521968,2022-01-16T00:29:36.522008
peterbraun#9809,leave,General,1642292990.5509381,2022-01-16T00:29:50.550975
Joe Rogan#2959,leave,General,1642293016.834584,2022-01-16T00:30:16.834629
Joe Rogan#2959,join,General,1642293035.458608,2022-01-16T00:30:35.458647
hadleymineer#8442,join,General,1642293038.119788,2022-01-16T00:30:38.119833
peterbraun#9809,join,General,1642293070.7109826,2022-01-16T00:31:10.711028
0wen#3644,join,General,1642293070.871581,2022-01-16T00:31:10.871626
0wen#3644,leave,General,1642293075.4928534,2022-01-16T00:31:15.492895
Joe Rogan#2959,leave,General,1642293163.798035,2022-01-16T00:32:43.798080
hadleymineer#8442,leave,General,1642293183.4250698,2022-01-16T00:33:03.425120
Joe Rogan#2959,join,General,1642293573.4068546,2022-01-16T00:39:33.406893
Joe Rogan#2959,leave,General,1642294774.52894,2022-01-16T00:59:34.528986
donwersa#8598,leave,General,1642294788.9999573,2022-01-16T00:59:48.999993
Annabelle B#6621,leave,General,1642296164.0953388,2022-01-16T01:22:44.095385
peterbraun#9809,leave,General,1642296482.9858325,2022-01-16T01:28:02.985880
Liam Straub#3257,join,Gamer 3,1642297601.1629581,2022-01-16T01:46:41.163049
jazzy#0143,join,Gamer 3,1642297615.4467885,2022-01-16T01:46:55.446817
jazzy#0143,leave,Gamer 3,1642299183.6311517,2022-01-16T02:13:03.631186
jazzy#0143,join,Gamer 3,1642299185.9401093,2022-01-16T02:13:05.940139
Lord_Of_Llamas#9876,join,Gamer 3,1642299302.6347492,2022-01-16T02:15:02.634797
tomlins212#4429,join,Gamer 3,1642299806.1028695,2022-01-16T02:23:26.102915
tomlins212#4429,leave,Gamer 3,1642299840.743716,2022-01-16T02:24:00.743752
Liam Straub#3257,leave,Gamer 3,1642300811.7350245,2022-01-16T02:40:11.735071
Liam Straub#3257,join,Gamer 3,1642300813.2162368,2022-01-16T02:40:13.216282
tomlins212#4429,join,Gamer 3,1642301431.9155874,2022-01-16T02:50:31.915632
JOSH CARLSON#6495,join,General,1642301503.2087688,2022-01-16T02:51:43.208815
JOSH CARLSON#6495,leave,General,1642301504.0822477,2022-01-16T02:51:44.082293
JOSH CARLSON#6495,join,Gamer 3,1642301504.0824006,2022-01-16T02:51:44.082422
tomlins212#4429,leave,Gamer 3,1642302976.6708531,2022-01-16T03:16:16.670900
tomlins212#4429,join,Gamer 3,1642302977.7672172,2022-01-16T03:16:17.767259
tomlins212#4429,leave,Gamer 3,1642302981.9665139,2022-01-16T03:16:21.966562
tomlins212#4429,join,Gamer 3,1642302990.8993483,2022-01-16T03:16:30.899388
Tangent#0184,join,Gamer 3,1642303012.993238,2022-01-16T03:16:52.993281
tomlins212#4429,leave,Gamer 3,1642303797.8948905,2022-01-16T03:29:57.894933
tomlins212#4429,join,Gamer 3,1642304001.3548532,2022-01-16T03:33:21.354899
Peter#9962,join,General,1642304768.4706652,2022-01-16T03:46:08.470706
DrDooglestein#0148,join,General,1642305322.7562356,2022-01-16T03:55:22.756270
Annabelle B#6621,join,General,1642305813.8812916,2022-01-16T04:03:33.881337
Annabelle B#6621,leave,General,1642305816.1702049,2022-01-16T04:03:36.170250
Annabelle B#6621,join,General,1642305984.6242921,2022-01-16T04:06:24.624322
Iron Horse#7419,join,General,1642306964.665263,2022-01-16T04:22:44.665306
JOSH CARLSON#6495,leave,Gamer 3,1642307074.7956488,2022-01-16T04:24:34.795696
JOSH CARLSON#6495,join,General,1642307074.7958028,2022-01-16T04:24:34.795825
Lord_Of_Llamas#9876,leave,Gamer 3,1642307203.5590677,2022-01-16T04:26:43.559116
Iron Horse#7419,leave,General,1642307724.9735744,2022-01-16T04:35:24.973617
tomlins212#4429,leave,Gamer 3,1642308328.2012398,2022-01-16T04:45:28.201283
tomlins212#4429,join,Gamer 3,1642308333.0259173,2022-01-16T04:45:33.025963
jazzy#0143,leave,Gamer 3,1642308831.262375,2022-01-16T04:53:51.262421
tomlins212#4429,leave,Gamer 3,1642309201.3972335,2022-01-16T05:00:01.397283
Tangent#0184,leave,Gamer 3,1642309212.7437186,2022-01-16T05:00:12.743767
Daniel the maniel#7678,join,General,1642309298.4176216,2022-01-16T05:01:38.417666
Tangent#0184,join,General,1642309423.3954098,2022-01-16T05:03:43.395464
Tangent#0184,leave,General,1642310394.4005775,2022-01-16T05:19:54.400620
Liam Straub#3257,leave,Gamer 3,1642311817.9137454,2022-01-16T05:43:37.913788
Liam Straub#3257,join,Asleep,1642311817.9138837,2022-01-16T05:43:37.913902
Daniel the maniel#7678,leave,General,1642312293.7683976,2022-01-16T05:51:33.768426
Liam Straub#3257,leave,Asleep,1642314779.969305,2022-01-16T06:32:59.969345
Annabelle B#6621,leave,General,1642323887.1560123,2022-01-16T09:04:47.156058
JOSH CARLSON#6495,leave,General,1642323893.6217043,2022-01-16T09:04:53.621756
